"date","area","corrected_positive","corrected_negative","epiweek"
2020-09-26,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,39
2020-09-27,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-09-28,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-09-29,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-09-30,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-10-01,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-10-02,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-10-03,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,40
2020-10-04,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-05,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-06,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-07,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-08,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-09,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-10,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,41
2020-10-11,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-12,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-13,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-14,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-15,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-16,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-17,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,42
2020-10-18,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-19,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-20,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-21,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-22,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-23,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,43
2020-10-24,"Bath and North East Somerset, Swindon and Wiltshire",1098,3,43
2020-10-25,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-26,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-27,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-28,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-29,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-30,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,44
2020-10-31,"Bath and North East Somerset, Swindon and Wiltshire",1367,6,44
2020-11-01,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-02,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-03,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-04,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-05,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-06,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,45
2020-11-07,"Bath and North East Somerset, Swindon and Wiltshire",1408,14,45
2020-11-08,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-09,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-10,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-11,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-12,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-13,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,46
2020-11-14,"Bath and North East Somerset, Swindon and Wiltshire",1579,32,46
2020-11-15,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-16,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-17,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-18,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-19,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-20,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,47
2020-11-21,"Bath and North East Somerset, Swindon and Wiltshire",1105,40,47
2020-11-22,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,48
2020-11-23,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,48
2020-11-24,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,48
2020-11-25,"Bath and North East Somerset, Swindon and Wiltshire",NA,NA,48
