"area","pop"
"West Yorkshire and Harrogate (Health and Care Partnership)",2521871
"Humber, Coast and Vale",1389600
"Greater Manchester Health and Social Care Partnership",2882019
"Cheshire and Merseyside",2496557
"South Yorkshire and Bassetlaw",1526479
"Staffordshire and Stoke on Trent",1135935
"Shropshire and Telford and Wrekin",502990
"Joined Up Care Derbyshire",1013663
"Lincolnshire",761224
"Nottingham and Nottinghamshire Health and Care",1043665
"Leicester, Leicestershire and Rutland",1100306
"The Black Country and West Birmingham",1769789
"Birmingham and Solihull",787282
"Coventry and Warwickshire",949454
"Herefordshire and Worcestershire",788587
"Northamptonshire",706015
"Cambridgeshire and Peterborough",969845
"Norfolk and Waveney Health and Care Partnership",1032491
"Suffolk and North East Essex",977887
"Bedfordshire, Luton and Milton Keynes",944449
"Hertfordshire and West Essex",1432774
"Mid and South Essex",1195348
"North West London Health and Care Partnership",2103719
"North London Partners in Health and Care",1510806
"East London Health and Care Partnership",2023383
"Our Healthier South East London",1819271
"South West London Health and Care Partnership",1504810
"Kent and Medway",1860111
"Sussex and East Surrey",1874597
"Frimley Health",793673
"Surrey Heartlands",806706
"Cornwall and the Isles of Scilly",571802
"Devon",1200739
"Somerset",562225
"Bristol, North Somerset and South Gloucestershire",963522
"Bath and North East Somerset, Swindon and Wiltshire",983502
"Dorset",773839
"Hampshire and the Isle of Wight",1848603
"Gloucestershire",637070
"Buckinghamshire, Oxfordshire and Berkshire West",1115013
"Healthier Lancashire and South Cumbria",1743741
"Cumbria and North East",3117630
