"date","region","cases"
2020-01-30,"England",2
2020-01-31,"England",0
2020-02-01,"England",0
2020-02-02,"England",0
2020-02-03,"England",0
2020-02-04,"England",0
2020-02-05,"England",1
2020-02-06,"England",0
2020-02-07,"England",0
2020-02-08,"England",4
2020-02-09,"England",1
2020-02-10,"England",0
2020-02-11,"England",1
2020-02-12,"England",0
2020-02-13,"England",0
2020-02-14,"England",0
2020-02-15,"England",0
2020-02-16,"England",0
2020-02-17,"England",0
2020-02-18,"England",0
2020-02-19,"England",0
2020-02-20,"England",0
2020-02-21,"England",1
2020-02-22,"England",0
2020-02-23,"England",1
2020-02-24,"England",2
2020-02-25,"England",5
2020-02-26,"England",4
2020-02-27,"England",7
2020-02-28,"England",11
2020-02-29,"England",5
2020-03-01,"England",20
2020-03-02,"England",38
2020-03-03,"England",53
2020-03-04,"England",49
2020-03-05,"England",46
2020-03-06,"England",73
2020-03-07,"England",55
2020-03-08,"England",50
2020-03-09,"England",125
2020-03-10,"England",227
2020-03-11,"England",353
2020-03-12,"England",414
2020-03-13,"England",392
2020-03-14,"England",315
2020-03-15,"England",396
2020-03-16,"England",545
2020-03-17,"England",681
2020-03-18,"England",908
2020-03-19,"England",926
2020-03-20,"England",1089
2020-03-21,"England",1030
2020-03-22,"England",1207
2020-03-23,"England",2011
2020-03-24,"England",2026
2020-03-25,"England",2253
2020-03-26,"England",2611
2020-03-27,"England",2655
2020-03-28,"England",2368
2020-03-29,"England",2437
2020-03-30,"England",3516
2020-03-31,"England",3788
2020-04-01,"England",4119
2020-04-02,"England",4064
2020-04-03,"England",4083
2020-04-04,"England",3376
2020-04-05,"England",3077
2020-04-06,"England",4372
2020-04-07,"England",4566
2020-04-08,"England",4287
2020-04-09,"England",4058
2020-04-10,"England",3578
2020-04-11,"England",3057
2020-04-12,"England",2940
2020-04-13,"England",3430
2020-04-14,"England",3542
2020-04-15,"England",4216
2020-04-16,"England",4346
2020-04-17,"England",4068
2020-04-18,"England",4104
2020-04-19,"England",3470
2020-04-20,"England",3682
2020-04-21,"England",3977
2020-04-22,"England",4798
2020-04-23,"England",4557
2020-04-24,"England",4344
2020-04-25,"England",3372
2020-04-26,"England",3133
2020-04-27,"England",4025
2020-04-28,"England",4109
2020-04-29,"England",4729
2020-04-30,"England",4306
2020-05-01,"England",4087
2020-05-02,"England",2743
2020-05-03,"England",2630
2020-05-04,"England",2844
2020-05-05,"England",3137
2020-05-06,"England",3263
2020-05-07,"England",3204
2020-05-08,"England",2620
2020-05-09,"England",1794
2020-05-10,"England",2001
2020-05-11,"England",3060
2020-05-12,"England",2919
2020-05-13,"England",2885
2020-05-14,"England",2210
2020-05-15,"England",2130
2020-05-16,"England",1767
2020-05-17,"England",1587
2020-05-18,"England",2206
2020-05-19,"England",2583
2020-05-20,"England",2341
2020-05-21,"England",2267
2020-05-22,"England",1791
2020-05-23,"England",1302
2020-05-24,"England",1200
2020-05-25,"England",1376
2020-05-26,"England",1449
2020-05-27,"England",1609
2020-05-28,"England",1571
2020-05-29,"England",1371
2020-05-30,"England",997
